update,global_step,mean_ep_return,mean_ep_len,entropy,policy_loss,value_loss,grad_norm
1,4096,4.586009096869446,64.14893617021276,1.9354449100792408,-0.5092197647318244,3.907688445178792,0.8607323415345808
2,8192,4.443916947804391,80.98,1.9149561440572143,-0.5670757370244246,4.073903786949813,1.0032205783736434
3,12288,3.036295587577942,90.4090909090909,1.9158152183517814,-0.2476922010682756,2.55189544177847,0.6004226088483784
4,16384,4.557418391108513,72.375,1.8979116510599852,-0.7022284195700195,4.654000421520323,0.7174681736444375
5,20480,5.286272602628024,63.901408450704224,1.8953873571008444,-1.0476183793507516,6.743888344615698,0.8382484830335832
6,24576,4.256583334381381,72.31666666666666,1.887051522731781,-0.5372670654614922,4.096900827833451,1.0474892906532913
7,28672,5.660769920427315,40.24752475247525,1.8385298661887646,-1.3001881788950413,7.868535717949271,1.4279493713726077
8,32768,6.791319576994731,33.07692307692308,1.8186650248244405,-1.8428987697698176,10.949397973716259,2.062854404392261
9,36864,6.099803551798686,26.763157894736842,1.7777360929176211,-1.759126462507993,10.552190992981195,1.9531269345078481
10,40960,6.027910701858087,22.905555555555555,1.7433351976796985,-1.7991612362675369,11.528480608016253,2.15753279080927
11,45056,5.924365010693606,18.15811965811966,1.6922592092305422,-1.9338807184249163,12.891456089913845,2.5014498454187484
12,49152,6.335542285149651,17.6218487394958,1.6474075354635715,-2.021090497728437,13.24500947445631,2.2735768677173582
13,53248,5.9454278352459635,14.996350364963504,1.6159128220751882,-2.003530855756253,13.867388255894184,2.924817595116476
14,57344,6.0737485589186955,12.38109756097561,1.5538731748238206,-1.9066485092043877,14.70271099358797,3.005010263439752
15,61440,5.249977167840433,13.103559870550162,1.5105318613350391,-1.309749576728791,12.370696503669024,3.001334929950729
16,65536,5.77271575765124,10.802056555269923,1.4360040742903948,-1.7223858491051942,15.29939877614379,4.055127534049393
17,69632,5.9651064308010024,11.204359673024523,1.3951288927346468,-1.4362160935415886,13.143142849206924,3.814245430008999
18,73728,5.975123152186776,9.582926829268292,1.3153642266988754,-1.424355101014953,14.103663444519043,3.2650877867291075
19,77824,6.476721477646518,10.503703703703703,1.2956136083230376,-1.7022490724921227,15.095060631632805,4.1775756019831505
20,81920,6.162779171951115,9.277522935779816,1.1993646500632167,-1.3225325622479431,14.244729615747929,3.8689176698822587
21,86016,5.908856097266437,9.00875273522976,1.1841235640458763,-1.100024072569795,13.87281920015812,3.3738852814906495
22,90112,6.29532164907087,8.811816192560174,1.1206253226846457,-1.1758276228792965,14.06237030774355,3.716911482027816
23,94208,6.241922514413351,9.196428571428571,1.1406375002115965,-1.1138604011794087,13.561624020338058,4.066208861538355
24,98304,5.814775207522772,8.57995735607676,1.0615422199480236,-0.7086676255858038,12.541191183030605,4.525913447760494
25,102400,6.404042364693809,8.415841584158416,1.0694425427354872,-1.17800577939488,14.072986423969269,4.357580884496773
26,106496,6.153945687522062,7.9753086419753085,0.9913123017176986,-0.6180136915645562,13.13321766257286,4.6879904365874125
27,110592,5.921740611448236,8.226843100189036,1.0160739999264479,-0.5558599936775863,13.278738856315613,4.932861348752969
28,114688,6.162161839629927,7.542145593869732,0.9657698818482459,-0.7025871737860143,13.92305276542902,4.5130273778572825
29,118784,5.924805807796704,7.530499075785582,0.9606319898739457,-0.437972201500088,13.389696195721626,4.884881538446285
30,122880,6.511265421980901,8.633196721311476,0.9174050632864237,-0.8303256118670106,12.137083746492863,4.646605561842325
31,126976,6.010362129954867,7.291139240506329,0.9079693560488522,-0.29758604627568275,12.514028042554855,4.742108984668775
32,131072,6.41809221092819,9.394673123486683,0.8929232754744589,-0.3660323063377291,10.27463954128325,4.663056876960402
33,135168,6.491052809821859,9.301552106430155,0.8369189822115004,-0.22907376452349126,10.424437243491411,6.021991822288049
34,139264,6.483635106298204,9.944572748267898,0.8922667331062257,-0.4901907732710242,10.520845867693424,7.590907425967076
35,143360,6.315614846452365,7.867850098619329,0.898946225643158,-0.40003603493096307,11.898494221270084,6.002166222662173
36,147456,6.5285896766583,9.837837837837839,0.9309329148381948,-0.15152324823429808,9.919874582439661,5.777578168494567
37,151552,6.436656025010482,10.026128266033254,0.8912115897983313,-0.023790154373273253,9.889349490404129,7.081599044000485
38,155648,6.986508475213144,8.986175115207374,0.8826118423603475,-0.47291151247918606,9.69836999848485,7.118218036771706
39,159744,6.685189442659151,11.131367292225201,0.8410284025594592,-0.1971163370180875,9.468434952199459,7.0364932679583205
40,163840,7.277604764229373,13.644736842105264,0.835271889809519,-0.4395601555297617,7.780099367722869,5.473747572990376
41,167936,6.8536504064959125,10.783715012722647,0.8593944977037609,-0.5538356679608114,9.547778133302927,8.111833397286098
42,172032,6.773906761627705,12.563934426229508,0.8481908380053937,-0.22405940486351028,8.159926975145936,6.3553063250907975
43,176128,6.811270102847255,12.063636363636364,0.8451461321674287,-0.14305224001873285,8.184656554833055,6.363058850036307
44,180224,7.0590123325031,13.273291925465838,0.8930671704001725,-0.39494509901851416,7.446663552895188,6.908354060138054
45,184320,7.289548130324957,12.60064935064935,0.8893356956541538,-0.220186261984054,6.906895115040243,5.4411800348791255
46,188416,7.048393411281392,12.173295454545455,0.8572283796966076,-0.2975011454836931,7.792478000745177,8.48894812506508
47,192512,7.20779131292519,11.093406593406593,0.8449975689873099,-0.3552487189590465,8.735649064183235,6.405118541308239
48,196608,7.553000437037554,13.746527777777779,0.9319469346664846,0.02352447167504579,7.81906171143055,6.133605046178469
49,200704,7.341954826817348,13.089855072463768,0.9373509115539491,0.023268027667654678,8.251997459679842,13.148517796649273
50,204800,7.7005230902196145,12.042296072507552,0.9203270534053445,-0.09055742984492099,7.393147906288505,9.717301064486033
51,208896,7.601336146302629,12.075362318840579,0.9277740945108235,-0.33052278886316344,8.387157512828708,4.675085776337748
52,212992,7.369217798164014,11.89820359281437,0.9224790348671377,-0.042427187494467944,7.742614919319749,4.153997050569872
53,217088,7.315724386135116,11.670731707317072,0.9655921454541385,-0.12562611277098767,8.165919173508883,5.135093626264458
